,Цена,Диагональ экрана,Объем накопителя SSD,Объем оперативной памяти,Количество ядер процессора,Комплектация,Емкость аккумулятора,Вес,Операционная система
"Ноутбук Acer Extensa 15 Core i3 1005G1/4Gb/1Tb HDD/15.6""/TN/FHD/Eshell/black",29 478 ₽,15.6,0,4 ГБ,2,Ноутбук - 1 шт,,1.9 кг,Linux Endless
Lenovo 15ALC6 82KU010KRM,51 929 ₽,"15.6""",512 Гб,8 ГБ,6,блок питания; кабель питания; документация,38 Вт-ч,1.5 кг,Windows
Ноутбук MateBook D15 BoD-WFH9 (53013ERX),59 990 ₽,"15.6""",512 Гб,16,4,Блок питания; кабель USB-C; инструкция,42 Втч,1.53 кг,Windows 11
"Ноутбук Lenovo IdeaPad 3 15.6"" i3/8Gb/256SSD/DOS(82H802NJRK)",50 060 ₽,15.6,256,8 ГБ,2,"Ноутбук, документация, блок питания",,1.65 кг,Без системы
Ноутбук Gram 17Z90P-G.AH89R Black,160 000 ₽,"17""",1024 Гб,16,4,ноутбук; блок питания; аккумулятор; инструкция,80 Вт/ч,1.35 кг,Windows 11 Home
"Ноутбук Acer Extensa 15 15.6"" Pen/256SSD/noOC (NX.EFTER.00N)",44 580 ₽,15.6,256,8 ГБ,4,"Ноутбук, зарядное устройство, документация",,1.9 кг,Без системы
Ноутбук ASUS Expertbook P1512CEA-EJ0036,46 794 ₽,15.6 '',256 Гб,8 ГБ,2,"Адаптер питания, Документация, Ноутбук",37 Вт·ч,1.8 кг,Без ОС
Ноутбук Acer Nitro 5 AN515-45-R5SJ [NH.QBRER.006] R7/noOS,109 204 ₽,"15,6""",1 Тб,8 ГБ,8,,,,noOS
Ноутбук VivoBook Pro 14 8ГБ 512ГБ W11 M3401QA-KM099W,92 494 ₽,14,512 Гб,16 ГБ,8,"Ноутбук Asus VivoBook PRO 14 M3401QA-KM099W 14.0"" Quiet Blue - 1шт.",63 Втч,1.45 кг,Windows 11
"Ноутбук Lenovo Legion 5 i7/16Gb/1TB SSD/15.6""/RTX3070 DOS",166 200 ₽,15.6,1024,16 ГБ,14,"Ноутбук, документация, блок питания",,2.4 кг,Без системы
"Ноутбук DELL XPS 13 9300 (i5-1035G1/8Gb/512Gb SSD/13,4""",96 894 ₽,"13.4""",512 Гб,8 ГБ,4 ядра,зарядное устройство; документация; ноутбук,6500 мА*ч,1.3 кг,Windows 10 Pro
Ноутбук Omen by HP 16-c0045ur 16.1 FHD IPS (4E1R9EA),103 431 ₽,"16.1""",512 Гб,16,8,,,,noOS
Inbook X2 Plus-11th XL25/15/Core-i5/8GB/512GB,44 693 ₽,"15""",512 Гб,8 ГБ,,,,,Windows
Ноутбук Acer Aspire 3 A315-35-C9CZ [NX.A6LER.00Q] 15.6/noOS,25 448 ₽,"15,6""",256 Гб,4 ГБ,2,,,,noOS
"Ноутбук M3502QA-BQ237 15.6"" , AMD Ryzen 5 5600H",66 216 ₽,15.6,512 Гб,16 ГБ,8,"Ноутбук, зарядное устройство, документация",70 Вт-ч,1.8 кг,Без системы
"Ноутбук Hiper (U9D2LKF) WORKBOOK N1567RH 15.6""",38 990 ₽,"15.6""",256,8,4-ядерный,"Ноутбук-1шт.,инструкция-1шт.",,,
"Ноутбук Acer NX.EG9ER.033(3050U/15,6/256Гб/4Гб/UMA/noOS)",25 892 ₽,"15,6""",256 Гб,4 ГБ,2,,,,noOS
Ноутбук Lenovo 15ACH6 82K2007HRM,76 999 ₽,"15.6""",512 Гб,8 ГБ,6,"документация, адаптер питания",45 Вт*ч,2.25 кг,Free DOS
"Ноутбук ASUS ZenBook ProDuo i7/16/1TB/15.6""(90NB0VR1-M00330)",225 000 ₽,15.6,1000,16 ГБ,14,,,2.34 кг,Windows Home
Ноутбук WORKBOOK Q15UHR 15.6,41 990 ₽,15.6,256,8,2,коробка; Документы; Hiper ноутбук,,1.6 кг,Windows
"Ноутбук Lenovo V15 G2 ALC 15.6"" FHD/Ryzen 7 5700U/8Гб/512Гб",70 470 ₽,"15.6""",512 гб,8 Гб,8,Ноутбук Lenovo V15 G2 ALC 15ALC6 - 1шт.; Блок питания - 1шт.; Руководство пользователя - 1шт.; Гарантийный талон - 1шт.; Инструкция - 1шт.,3800 ма*ч,1.7 кг,Без ОС
"Ноутбук Pro Sprint M i5 1135G7/16Gb/SSD512Gb/15.6""/W11Pro",48 990 ₽,"15.6""",512 Гб,16 ГБ,4,,4250 мА*ч,1.82 кг,Windows
Ноутбук IdeaPad Gaming 3 (82K1015CUS),72 990 ₽,"15.6""",256 Гб,8 ГБ,4,ноутбук; блок питания; инструкция,45 Втч,2.25 кг,Windows 11 Home
Ноутбук Apple MacBook Air,116 100 ₽,"13.3""",256 Гб,8 ГБ,8,"адаптер питания, кабель USB Type-C",49.9 Вт*ч,1.29 кг,macOS
Ноутбук для работы ASUS ExpertBook P1,63 990 ₽,15.6,512 Гб,8 ГБ,4,ноутбук; адаптер питания; документация; проводная мышь,37 Втч,1.8 кг,нет
Ноутбук MateBook D15 Ryzen 5 5500U/15.6/SSD512GB/RAM8GB,79 200 ₽,15.6,512 Гб,8 Гб,6,ноутбук; аккумулятор; шнур и адаптер питания,42 Вт*ч (номинальная емкость),1.63 кг,Win 11
Ноутбук RedmiBook 15 JYU4532RU,50 549 ₽,"15.6""",512 Гб,8 ГБ,4,"документация, адаптер питания",46 Вт ч,1.8 кг,Microsoft Windows 11
"Ноутбук HP 250 G8 15.6"" FHD i3-1115G4/8Gb/256Gb SSD/DOS",56 630 ₽,15.6,256,8 ГБ,2,"ноутбук, блок питания",,1.74 кг,Без системы
"MacBook Pro 14.2""1 tb Apple M2 (MPHJ3)2023",281 600 ₽,"14.2""",1 Тб,16,12 ядер; Количество ядер Neural Engine 16,,100 Ватт-часов; Технология аккумулятора Литий-Полимерная; Количество установленных батарей 1,1.6 кг,Apple macOS Ventura
Crosshair 15 C12VG-480XRU черный,154 900 ₽,"15,6",1 Тб,16 ГБ,10,"адаптер питания, документация",53.5 Вт*ч,2.3 кг,Без ОС
